target,ref,is_self_pair,rank,signal_type,counter_trade,use_excess_return,threshold_width,hold_days,start_days,sma_period,trade_count,average_pct,std_pct,t_value,win_rate,positive_year_ratio,worst_year_profit,neighbor_expected_count,neighbor_valid_count,neighbor_coverage_ratio,neighbor_mean_t,neighbor_worst_t,neighbor_positive_ratio_expected,neighbor_t_ge_1_ratio_expected,signal_type_support_t_ge_1,signal_type_support_t_ge_2,eligible_task_count,eligible_task_positive_ratio,eligible_task_t_ge_1_ratio,eligible_mean_t,eligible_median_t
AUD_JPY,AUD_JPY,True,7471,bb,False,False,1.000000000,20,1,15,251,0.228872801,3.771940725,0.961316034,50.597609562,53.333333333,-9.373731620,5,5,1.000000000,-0.054261132,-0.536573378,0.400000000,0.000000000,0,0,40,0.450000000,0.000000000,-0.022017978,-0.020707125
AUD_JPY,AUD_NZD,False,646,change,False,False,1.000000000,20,1,50,206,0.583643325,4.020772353,2.083395146,51.941747573,66.666666667,-10.478757048,2,2,1.000000000,0.197774934,0.047445225,1.000000000,0.000000000,4,1,42,0.500000000,0.166666667,-0.020249052,-0.019780228
AUD_JPY,AUD_USD,False,5822,change,False,False,1.000000000,20,1,100,212,0.296814796,3.922375984,1.101803774,50.943396226,66.666666667,-10.582768651,2,2,1.000000000,0.184001569,-0.146905240,0.500000000,0.000000000,1,0,40,0.500000000,0.025000000,-0.021297250,-0.021526368
AUD_JPY,CAD_JPY,False,2752,bb,False,False,1.000000000,20,1,10,281,0.353903570,3.983647070,1.489214472,56.939501779,66.666666667,-7.417301408,3,3,1.000000000,-0.214300137,-1.040793772,0.666666667,0.000000000,2,0,40,0.500000000,0.050000000,-0.021516322,-0.018574622
AUD_JPY,CBOE_Volatility_Index,False,1519,stoch,True,False,30.000000000,20,1,50,184,0.535842627,4.136097544,1.757338397,52.717391304,66.666666667,-7.259935372,2,2,1.000000000,1.419562313,1.138331667,1.000000000,1.000000000,2,0,42,0.500000000,0.142857143,-0.023918304,-0.020794004
AUD_JPY,CHF_JPY,False,1667,di,True,False,20.000000000,20,1,10,194,0.536266291,4.347421459,1.718104671,56.701030928,73.333333333,-5.781887332,1,1,1.000000000,1.589846451,1.589846451,1.000000000,1.000000000,2,0,40,0.500000000,0.050000000,-0.021247997,-0.021040584
AUD_JPY,COPPER_USD,False,1220,stoch,False,False,30.000000000,20,1,50,162,0.585226427,4.023418665,1.851340108,55.555555556,60.000000000,-10.301977684,2,2,1.000000000,0.043578335,-0.383588986,0.500000000,0.000000000,4,0,40,0.450000000,0.125000000,-0.022880898,-0.024316788
AUD_JPY,EUR_AUD,False,12,bb,False,False,2.000000000,20,1,15,157,0.970417320,3.706648649,3.280401063,59.872611465,80.000000000,-15.887115048,8,7,0.875000000,0.504734888,-0.270196518,0.750000000,0.250000000,2,1,42,0.500000000,0.095238095,-0.021946250,-0.017916386
AUD_JPY,EUR_CHF,False,3271,bb,False,False,1.500000000,20,1,15,217,0.387940454,4.075686547,1.402148981,51.612903226,60.000000000,-10.364473568,8,8,1.000000000,-0.059869850,-0.999106021,0.500000000,0.125000000,1,0,20,0.500000000,0.100000000,-0.021651471,-0.016393358
AUD_JPY,EUR_GBP,False,122,sma,False,False,1.000000000,20,1,15,172,0.908856306,4.390138908,2.715070972,55.232558140,80.000000000,-8.030843604,2,2,1.000000000,1.696040971,1.205765125,1.000000000,1.000000000,5,4,40,0.500000000,0.375000000,-0.020527550,-0.018798335
AUD_JPY,EUR_JPY,False,5282,di,True,False,20.000000000,20,1,10,195,0.348062592,4.205173649,1.155821375,52.820512821,73.333333333,-7.459494128,1,1,1.000000000,1.881073145,1.881073145,1.000000000,1.000000000,2,0,42,0.500000000,0.071428571,-0.020873826,-0.021194391
AUD_JPY,EUR_NZD,False,2656,sma,False,False,1.000000000,20,1,50,220,0.421740473,4.160967436,1.503357623,53.636363636,60.000000000,-17.997850744,2,2,1.000000000,0.643866795,0.087899767,1.000000000,0.500000000,4,0,42,0.500000000,0.166666667,-0.021415874,-0.020534922
AUD_JPY,EUR_USD,False,477,change,False,False,1.000000000,20,1,100,200,0.610298996,3.938170727,2.191609193,57.000000000,73.333333333,-3.443004880,2,2,1.000000000,0.658705105,0.163798978,1.000000000,0.500000000,2,2,38,0.447368421,0.105263158,-0.020859597,-0.021795458
AUD_JPY,GBP_AUD,False,8554,change,True,False,1.000000000,20,1,50,212,0.249090994,4.100652023,0.884449497,51.886792453,53.333333333,-22.265080792,2,2,1.000000000,0.440401088,0.162826123,1.000000000,0.000000000,0,0,40,0.500000000,0.000000000,-0.021074924,-0.019875192
AUD_JPY,GBP_CHF,False,668,di,True,False,20.000000000,20,1,10,186,0.616379436,4.055387129,2.072871092,54.301075269,73.333333333,-16.407723240,1,1,1.000000000,1.193903956,1.193903956,1.000000000,1.000000000,5,2,40,0.500000000,0.250000000,-0.020462590,-0.018540749
AUD_JPY,GBP_JPY,False,634,bb,True,False,2.000000000,20,1,15,152,0.726570736,4.281378677,2.092261935,53.289473684,73.333333333,-12.726231532,8,7,0.875000000,0.838248985,0.000037698,0.875000000,0.375000000,3,1,42,0.500000000,0.119047619,-0.021172183,-0.019014508
AUD_JPY,GBP_USD,False,1549,bb,True,False,1.500000000,20,1,10,239,0.474876303,4.196179118,1.749546262,55.230125523,80.000000000,-12.102603368,5,5,1.000000000,1.611121837,0.687207762,1.000000000,0.800000000,3,0,42,0.500000000,0.166666667,-0.020939945,-0.017383930
AUD_JPY,GOLD_USD,False,236,sma,False,False,1.000000000,20,1,200,197,0.727979809,4.132875310,2.472294167,57.868020305,93.333333333,-2.794910784,1,1,1.000000000,0.392028666,0.392028666,1.000000000,0.000000000,5,1,40,0.500000000,0.175000000,-0.021343595,-0.017780843
AUD_JPY,NQ100_Futures,False,1337,bb,False,False,1.500000000,20,1,15,221,0.498587286,4.090436491,1.812039592,56.108597285,73.333333333,-7.421278420,8,8,1.000000000,0.782765044,0.282383250,1.000000000,0.250000000,4,0,40,0.500000000,0.175000000,-0.022963266,-0.022489052
AUD_JPY,NZD_JPY,False,3141,bb,True,False,1.500000000,20,1,15,215,0.358066889,3.697356790,1.420012056,55.348837209,66.666666667,-9.817934474,8,8,1.000000000,0.668553648,-0.567253174,0.750000000,0.375000000,3,0,40,0.500000000,0.075000000,-0.022501241,-0.022337166
AUD_JPY,NZD_USD,False,5531,change,False,False,1.000000000,20,1,200,201,0.343392212,4.304098009,1.131113843,55.721393035,60.000000000,-17.379467976,1,1,1.000000000,0.114221396,0.114221396,1.000000000,0.000000000,1,0,40,0.475000000,0.025000000,-0.021385540,-0.022270989
AUD_JPY,OIL_USD,False,2751,bb,True,False,1.500000000,20,1,10,241,0.395765733,4.125618075,1.489215983,50.622406639,60.000000000,-12.104042056,5,5,1.000000000,0.804657393,0.401362960,1.000000000,0.400000000,1,0,40,0.500000000,0.075000000,-0.022361882,-0.027107470
AUD_JPY,SILVER_USD,False,129,change,False,False,1.000000000,20,1,100,227,0.730954801,4.076251377,2.701733410,58.149779736,86.666666667,-11.132648580,2,2,1.000000000,0.490052677,0.179682259,1.000000000,0.000000000,3,1,42,0.476190476,0.071428571,-0.022208742,-0.022711238
AUD_JPY,TRY_JPY,False,847,sma,True,False,1.000000000,20,1,200,200,0.573391318,4.066737415,1.993976241,56.000000000,86.666666667,-9.948074200,1,1,1.000000000,1.028687328,1.028687328,1.000000000,1.000000000,4,0,40,0.500000000,0.150000000,-0.022540410,-0.025064884
AUD_JPY,UK100_Futures,False,435,sma,False,False,1.000000000,20,1,50,224,0.577021182,3.868477276,2.232419025,57.589285714,66.666666667,-15.464288292,2,2,1.000000000,0.887741709,0.569200253,1.000000000,0.500000000,3,1,42,0.500000000,0.214285714,-0.022442993,-0.020497529
AUD_JPY,US30_Futures,False,1593,stoch,False,False,30.000000000,20,1,15,223,0.466693930,4.015207848,1.735707547,55.605381166,78.571428571,-5.581503312,2,2,1.000000000,0.640845417,-0.075968019,0.500000000,0.500000000,4,0,40,0.425000000,0.125000000,-0.021016654,-0.020137657
AUD_JPY,USD_CAD,False,5206,change,True,False,1.000000000,20,1,200,192,0.348281243,4.145474712,1.164143264,54.166666667,60.000000000,-9.218050088,1,1,1.000000000,0.372591026,0.372591026,1.000000000,0.000000000,1,0,40,0.475000000,0.025000000,-0.020436373,-0.020592942
AUD_JPY,USD_CHF,False,998,change,True,False,1.000000000,20,1,100,209,0.509934539,3.816797330,1.931472247,55.023923445,80.000000000,-6.603687192,2,2,1.000000000,0.930138750,0.638254175,1.000000000,0.500000000,4,0,42,0.476190476,0.142857143,-0.021166693,-0.022196825
AUD_JPY,USD_JPY,False,947,bb,True,False,1.000000000,20,1,100,153,0.672804996,4.260685729,1.953239154,58.169934641,66.666666667,-4.900572860,5,5,1.000000000,1.339814916,0.959344797,1.000000000,0.800000000,4,0,38,0.473684211,0.157894737,-0.021471320,-0.021016972
AUD_JPY,USSPX500_Futures,False,2356,sma,False,False,1.000000000,20,1,100,208,0.390025602,3.605386534,1.560173693,54.326923077,66.666666667,-8.002840764,2,2,1.000000000,0.623245187,0.383748174,1.000000000,0.000000000,4,0,44,0.500000000,0.204545455,-0.022550514,-0.023227814
AUD_JPY,ZAR_JPY,False,4005,change,True,False,1.000000000,20,1,100,229,0.346140689,4.046620022,1.294428209,54.585152838,73.333333333,-11.667636376,2,2,1.000000000,0.895843413,0.776085991,1.000000000,0.500000000,3,0,40,0.500000000,0.100000000,-0.022618405,-0.017706161
AUD_NZD,AUD_JPY,False,3330,stoch,True,False,30.000000000,20,1,50,163,0.219695808,2.019184959,1.389119061,55.214723926,66.666666667,-0.091613683,2,2,1.000000000,1.205401822,0.519815761,1.000000000,0.500000000,2,0,40,0.375000000,0.075000000,-0.482125942,-0.465440884
AUD_NZD,AUD_NZD,True,7889,sma,True,False,1.000000000,20,1,200,181,0.144919488,2.095281123,0.930515858,51.381215470,73.333333333,-0.165054732,1,1,1.000000000,-0.685374555,-0.685374555,0.000000000,0.000000000,0,0,42,0.238095238,0.000000000,-0.431711327,-0.413462519
AUD_NZD,AUD_USD,False,14070,change,True,False,1.000000000,20,1,15,254,0.080012528,2.259390449,0.564395528,50.393700787,60.000000000,-0.120800353,2,2,1.000000000,-0.409379543,-0.460088608,0.000000000,0.000000000,0,0,40,0.100000000,0.000000000,-0.478454242,-0.444992154
AUD_NZD,CAD_JPY,False,13034,change,True,False,1.000000000,20,1,100,217,0.093164714,2.226707682,0.616336822,52.073732719,53.333333333,-0.104570241,2,2,1.000000000,0.217658089,0.145980158,1.000000000,0.000000000,0,0,40,0.100000000,0.000000000,-0.479291138,-0.454209025
AUD_NZD,CBOE_Volatility_Index,False,19134,di,False,False,20.000000000,20,1,10,192,0.049713489,2.066029939,0.333417393,53.125000000,33.333333333,-0.066613198,1,1,1.000000000,0.181038117,0.181038117,1.000000000,0.000000000,0,0,42,0.119047619,0.000000000,-0.508474629,-0.514580629
AUD_NZD,CHF_JPY,False,5801,sma,True,False,1.000000000,20,1,100,195,0.170314558,2.154597754,1.103831732,51.794871795,66.666666667,-0.087616756,2,2,1.000000000,0.317900252,-0.319616661,0.500000000,0.000000000,2,0,40,0.400000000,0.050000000,-0.455112284,-0.452705337
AUD_NZD,COPPER_USD,False,4224,bb,False,False,1.000000000,20,1,50,185,0.201954847,2.162857810,1.270024726,54.594594595,60.000000000,-0.061194040,5,5,1.000000000,0.310640767,-0.558023375,0.600000000,0.400000000,1,0,40,0.200000000,0.050000000,-0.489238759,-0.549162255
AUD_NZD,EUR_AUD,False,10900,change,False,False,1.000000000,20,1,50,217,0.109704806,2.200437716,0.734423291,51.612903226,60.000000000,-0.069295605,2,2,1.000000000,-0.933990913,-1.074791936,0.000000000,0.000000000,0,0,42,0.309523810,0.000000000,-0.467918532,-0.472147952
AUD_NZD,EUR_CHF,False,18312,bb,True,False,1.000000000,20,1,50,179,0.064215970,2.333941384,0.368111695,51.396648045,53.333333333,-0.213613914,5,5,1.000000000,-0.309493672,-0.510624319,0.000000000,0.000000000,0,0,20,0.100000000,0.000000000,-0.453644874,-0.416484647
AUD_NZD,EUR_GBP,False,3385,change,False,False,1.000000000,20,1,50,208,0.219191317,2.289641265,1.380662627,54.326923077,53.333333333,-0.071702934,2,2,1.000000000,-0.036238980,-0.195295507,0.500000000,0.000000000,1,0,40,0.175000000,0.025000000,-0.442470441,-0.436857578
AUD_NZD,EUR_JPY,False,4203,bb,True,False,1.000000000,20,1,15,259,0.178153757,2.254020581,1.271999643,51.737451737,73.333333333,-0.158473300,5,5,1.000000000,0.282596832,0.061489978,1.000000000,0.000000000,3,0,42,0.452380952,0.095238095,-0.445530193,-0.486784338
AUD_NZD,EUR_NZD,False,8433,stoch,True,False,30.000000000,20,1,15,244,0.127279239,2.228769846,0.892046022,54.918032787,66.666666667,-0.170631799,2,2,1.000000000,-0.034088672,-0.077830790,0.500000000,0.000000000,0,0,42,0.309523810,0.000000000,-0.460790608,-0.425596097
AUD_NZD,EUR_USD,False,11526,stoch,True,False,30.000000000,20,1,10,267,0.092846815,2.168511894,0.699617768,53.558052434,46.666666667,-0.062832347,1,1,1.000000000,0.650239852,0.650239852,1.000000000,0.000000000,0,0,38,0.421052632,0.000000000,-0.462340639,-0.434271054
AUD_NZD,GBP_AUD,False,14115,bb,True,False,1.500000000,20,1,10,228,0.074790742,2.007691662,0.562494459,50.438596491,46.666666667,-0.128260479,5,5,1.000000000,-0.170287726,-1.059222964,0.400000000,0.000000000,0,0,40,0.200000000,0.000000000,-0.486093234,-0.491966919
AUD_NZD,GBP_CHF,False,11424,sma,True,False,1.000000000,20,1,200,177,0.112514340,2.124304314,0.704657015,53.672316384,66.666666667,-0.105676798,1,1,1.000000000,-0.163658254,-0.163658254,0.000000000,0.000000000,0,0,40,0.175000000,0.000000000,-0.449975238,-0.481954302
AUD_NZD,GBP_JPY,False,2240,change,True,False,1.000000000,20,1,50,223,0.244323066,2.305012832,1.582863826,58.744394619,80.000000000,-0.068603751,2,2,1.000000000,0.820092507,0.392027229,1.000000000,0.500000000,3,0,42,0.285714286,0.095238095,-0.453856945,-0.483598551
AUD_NZD,GBP_USD,False,10882,di,True,False,20.000000000,20,1,10,192,0.117729577,2.218883990,0.735193403,51.041666667,66.666666667,-0.145836644,1,1,1.000000000,-0.024094173,-0.024094173,0.000000000,0.000000000,0,0,42,0.166666667,0.000000000,-0.454774375,-0.479664241
AUD_NZD,GOLD_USD,False,5575,change,False,False,1.000000000,20,1,100,217,0.169555467,2.217982721,1.126116974,52.995391705,66.666666667,-0.098063112,2,2,1.000000000,-0.258919725,-0.386593813,0.000000000,0.000000000,1,0,40,0.300000000,0.025000000,-0.455934393,-0.474359205
AUD_NZD,NQ100_Futures,False,10278,sma,False,False,1.000000000,20,1,200,200,0.111632075,2.051334854,0.769604215,50.500000000,53.333333333,-0.178267724,1,1,1.000000000,0.468760356,0.468760356,1.000000000,0.000000000,0,0,40,0.225000000,0.000000000,-0.491672952,-0.463738083
AUD_NZD,NZD_JPY,False,5546,bb,True,False,1.000000000,20,1,50,182,0.179520098,2.143889334,1.129656504,56.043956044,73.333333333,-0.076229820,5,5,1.000000000,0.499114084,-0.317857123,0.600000000,0.400000000,3,0,40,0.275000000,0.075000000,-0.482354173,-0.523037678
